fid,A0,A1,A2,A3,A4,xcoord,ycoord
1,11,"11110",종로구,2026/01/01,"11110",126.978136588811,37.5971343689791
2,34,"11140",중구,2026/01/01,"11140",126.996767182252,37.562368986214
3,1,"11170",용산구,2026/01/01,"11170",126.980686581939,37.5336089426617
4,1,"11200",성동구,2026/01/01,"11200",127.041837547562,37.5532436683558
5,49,"11215",광진구,2026/01/01,"11215",127.086534659336,37.5489491025219
6,232,"11230",동대문구,2026/01/01,"11230",127.055647290155,37.5841760756085
7,34,"11260",중랑구,2026/01/01,"11260",127.093678963339,37.6000105195822
8,1,"11290",성북구,2026/01/01,"11290",127.018396176807,37.6079244723428
9,3,"11305",강북구,2026/01/01,"11305",127.011993411344,37.6456917055205
10,1,"11320",서울시도봉구,2026/01/01,"11320",127.033152624025,37.6713162714173
11,1,"11350",서울시노원구,2026/01/01,"11350",127.075847714065,37.6547192229349
12,1,"11380",은평구,2026/01/01,"11380",126.927828141526,37.6214305662775
13,1,"11410",서대문구,2026/01/01,"11410",126.939871520833,37.580002310491
14,2,"11440",마포구,2026/01/01,"11440",126.909066320527,37.56153934751
15,1,"11470",양천구,2026/01/01,"11470",126.856203452366,37.5269698684708
16,1,"11500",강서구,2026/01/01,"11500",126.823651231654,37.5634508351614
17,2,"11530",구로구,2026/01/01,"11530",126.857147669712,37.4966416189409
18,1,"11545",금천구,2026/01/01,"11545",126.901626195127,37.4628006696651
19,1,"11560",영등포구,2026/01/01,"11560",126.91097652171,37.5245520052338
20,1,"11590",동작구,2026/01/01,"11590",126.952447729825,37.5010715182108
21,1,"11620",관악구,2026/01/01,"11620",126.946139347302,37.4696084894614
22,34,"11650",서초구,2026/01/01,"11650",127.032013844251,37.4755277700179
23,1,"11680",강남구,2026/01/01,"11680",127.063777329572,37.4988966753852
24,1,"11710",송파구,2026/01/01,"11710",127.116091190567,37.5078514973149
25,1,"11740",강동구,2026/01/01,"11740",127.147790656241,37.5526662612007
26,1,"46890",완도군,2026/01/01,"46890",126.777193471601,34.2973656905472
27,2,"46900",진도군,2026/01/01,"46900",126.215073800952,34.4398326026957
28,1,"46910",신안군,2026/01/01,"46910",126.04976575128,34.8166821838274
29,1,"47111",포항시 남구,2026/01/01,"47110",129.438265245309,35.9605690065755
30,2,"47113",포항시 북구,2026/01/01,"47110",129.234555809042,36.1674838075088
31,2,"47130",경주시,2026/01/01,"47130",129.236557264013,35.8290887911501
32,51,"47150",김천시,2026/01/01,"47150",128.078417705256,36.062830820154
33,370,"47170",안동시,2026/01/01,"47170",128.780695984893,36.5825842369939
34,55,"47190",구미시,2026/01/01,"47190",128.356242531508,36.2096990557205
35,1,"47210",영주시,2026/01/01,"47210",128.598339120772,36.872815911882
36,1,"47230",영천시,2026/01/01,"47230",128.943347369589,36.0181156517048
37,6,"47250",상주시,2026/01/01,"47250",128.067643724824,36.4319329889452
38,1,"47280",문경시,2026/01/01,"47280",128.149603533617,36.6932700073082
